,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
229,0,enrollee,18,female,1,educational/education,educational/education,center,634.3608150358438,1,graduate,25,male,2
230,0,enrollee,18,female,1,educational/education,educational/education,center,636.6622036251783,2,parent,40,female,2
231,0,enrollee,18,female,1,educational/education,educational/education,center,617.1309275478054,3,post-doc,34,male,3
232,0,enrollee,18,female,1,educational/education,educational/education,university,633.0778437208512,0,enrollee,18,female,1
233,0,enrollee,18,female,1,educational/education,educational/education,university,740.5378014277006,1,graduate,25,male,2
234,0,enrollee,18,female,1,educational/education,educational/education,university,645.8714775235939,2,parent,40,female,2
235,0,enrollee,18,female,1,educational/education,educational/education,university,562.5346710157502,3,post-doc,34,male,3
236,0,enrollee,18,female,1,educational/education,educational/education,scientific/science,609.6346913503452,0,enrollee,18,female,1
237,0,enrollee,18,female,1,educational/education,educational/education,scientific/science,978.9015857603588,1,graduate,25,male,2
238,0,enrollee,18,female,1,educational/education,educational/education,scientific/science,649.7437924076876,2,parent,40,female,2
239,0,enrollee,18,female,1,educational/education,educational/education,scientific/science,528.7690142521667,3,post-doc,34,male,3
240,0,enrollee,18,female,1,educational/education,educational/education,educational/education,528.4425425621272,1,graduate,25,male,2
241,0,enrollee,18,female,1,educational/education,educational/education,educational/education,553.7323764217342,2,parent,40,female,2
242,0,enrollee,18,female,1,educational/education,educational/education,educational/education,623.7645526090544,3,post-doc,34,male,3
243,0,enrollee,18,female,1,educational/education,educational/education,program,696.6525694737041,0,enrollee,18,female,1
244,0,enrollee,18,female,1,educational/education,educational/education,program,718.2558319633489,1,graduate,25,male,2
245,0,enrollee,18,female,1,educational/education,educational/education,program,649.7389430171179,2,parent,40,female,2
246,0,enrollee,18,female,1,educational/education,educational/education,program,685.3142864057187,3,post-doc,34,male,3
247,1,graduate,25,male,2,educational/education,educational/education,center,632.3485947300959,0,enrollee,18,female,1
248,1,graduate,25,male,2,educational/education,educational/education,center,648.8215852737892,1,graduate,25,male,2
249,1,graduate,25,male,2,educational/education,educational/education,center,618.4657393127089,2,parent,40,female,2
250,1,graduate,25,male,2,educational/education,educational/education,center,623.4618168985581,3,post-doc,34,male,3
251,1,graduate,25,male,2,educational/education,educational/education,university,536.7144007512136,0,enrollee,18,female,1
252,1,graduate,25,male,2,educational/education,educational/education,university,681.7492281237561,1,graduate,25,male,2
253,1,graduate,25,male,2,educational/education,educational/education,university,803.943677210338,2,parent,40,female,2
254,1,graduate,25,male,2,educational/education,educational/education,university,606.8631329264391,3,post-doc,34,male,3
255,1,graduate,25,male,2,educational/education,educational/education,scientific/science,592.957942347224,0,enrollee,18,female,1
256,1,graduate,25,male,2,educational/education,educational/education,scientific/science,976.8540832369721,1,graduate,25,male,2
257,1,graduate,25,male,2,educational/education,educational/education,scientific/science,600.727653358353,2,parent,40,female,2
258,1,graduate,25,male,2,educational/education,educational/education,scientific/science,504.7567517684309,3,post-doc,34,male,3
259,1,graduate,25,male,2,educational/education,educational/education,educational/education,528.4425425621272,0,enrollee,18,female,1
260,1,graduate,25,male,2,educational/education,educational/education,educational/education,463.0443583391736,2,parent,40,female,2
261,1,graduate,25,male,2,educational/education,educational/education,educational/education,672.7806219281698,3,post-doc,34,male,3
262,1,graduate,25,male,2,educational/education,educational/education,program,648.2854752734294,0,enrollee,18,female,1
263,1,graduate,25,male,2,educational/education,educational/education,program,691.7568380840376,1,graduate,25,male,2
264,1,graduate,25,male,2,educational/education,educational/education,program,612.3435194842183,2,parent,40,female,2
265,1,graduate,25,male,2,educational/education,educational/education,program,581.449710098623,3,post-doc,34,male,3
266,2,parent,40,female,2,educational/education,educational/education,center,587.4361536053913,0,enrollee,18,female,1
267,2,parent,40,female,2,educational/education,educational/education,center,612.5557666304718,1,graduate,25,male,2
268,2,parent,40,female,2,educational/education,educational/education,center,575.8002297703688,2,parent,40,female,2
269,2,parent,40,female,2,educational/education,educational/education,center,568.767468991384,3,post-doc,34,male,3
270,2,parent,40,female,2,educational/education,educational/education,university,545.9887923036409,0,enrollee,18,female,1
271,2,parent,40,female,2,educational/education,educational/education,university,660.1735166839442,1,graduate,25,male,2
272,2,parent,40,female,2,educational/education,educational/education,university,770.7865184061548,2,parent,40,female,2
273,2,parent,40,female,2,educational/education,educational/education,university,534.1183003744446,3,post-doc,34,male,3
274,2,parent,40,female,2,educational/education,educational/education,scientific/science,565.8879603118037,0,enrollee,18,female,1
275,2,parent,40,female,2,educational/education,educational/education,scientific/science,974.5875208111094,1,graduate,25,male,2
276,2,parent,40,female,2,educational/education,educational/education,scientific/science,481.14301884433763,2,parent,40,female,2
277,2,parent,40,female,2,educational/education,educational/education,scientific/science,445.88503322065367,3,post-doc,34,male,3
278,2,parent,40,female,2,educational/education,educational/education,educational/education,553.7323764217342,0,enrollee,18,female,1
279,2,parent,40,female,2,educational/education,educational/education,educational/education,463.0443583391736,1,graduate,25,male,2
